Timestamp,Crash Line,Source File,Total Count
2025-07-10 03:34:10,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:536: e2ap_dec_e42_subscription_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250710_033410_20250710_033338.log,107
2025-07-10 03:34:31,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:477: e2ap_dec_e42_subscription_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250710_033431_20250710_033410.log,102
2025-07-10 03:36:44,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:167,oran-orchestration-oai-cu-up-1_20250710_033644_20250710_033621.log,38
2025-07-10 03:36:44,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-du-rfsim-1_20250710_033644_20250710_033621.log,157
2025-07-10 03:38:30,"nearRT-RIC: /flexric/src/ric/iApp/map_ric_id.c:227: find_ric_req_map_ric_id: Assertion `it != end && ""Not found xApp RIC ID ""' failed.",oran-orchestration-nearRT-RIC-1_20250710_033830_20250710_033809.log,565
2025-07-10 03:42:03,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2523: e2ap_dec_e42_subscription_delete_request: Assertion `pdu->choice.initiatingMessage->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250710_034203_20250710_034140.log,76
2025-07-10 03:42:59,"nearRT-RIC: /flexric/src/ric/iApp/msg_handler_iapp.c:343: e2ap_handle_e42_ric_subscription_request_iapp: Assertion `valid_global_e2_node(iapp, &e42_sr->id )' failed.",oran-orchestration-nearRT-RIC-1_20250710_034259_20250710_034236.log,22
2025-07-10 03:42:59,"nr-cuup: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-cu-up-1_20250710_034259_20250710_034236.log,101
2025-07-10 03:43:32,"nearRT-RIC: /flexric/src/util/alg_ds/ds/assoc_container/assoc_rb_tree.c:457: assoc_rb_tree_extract: Assertion `z_node != tree->dummy && ""Trying to extract a key not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250710_034332_20250710_034259.log,135
2025-07-10 03:44:20,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2677: e2ap_get_msg_type: Assertion `0 != 0 && ""unhandled message""' failed.",oran-orchestration-nearRT-RIC-1_20250710_034420_20250710_034353.log,101
2025-07-10 03:45:14,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:229: filter_ues_by_s_nssai_in_cuup: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-cu-up-1_20250710_034514_20250710_034453.log,131
2025-07-10 03:46:08,"nearRT-RIC: /flexric/src/ric/msg_handler_ric.c:117: e2ap_handle_subscription_response_ric: Assertion `resp->admitted[0].ric_act_id == 0 && ""No other case implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250710_034608_20250710_034546.log,174
2025-07-10 03:49:48,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:71: fill_kpm_meas_data_item: Assertion `meas_info_lst[i].meas_type.type == NAME_MEAS_TYPE && ""Only NAME supported""' failed.",oran-orchestration-oai-cu-up-1_20250710_034948_20250710_034915.log,107
