Timestamp,Crash Line,Source File,Total Count
2025-06-17 15:10:31,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2540: e2ap_dec_e42_subscription_delete_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151031_20250617_150901.log,3577
2025-06-17 15:10:31,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2677: e2ap_get_msg_type: Assertion `0 != 0 && ""unhandled message""' failed.",oran-orchestration-nearRT-RIC-1_20250617_151031_20250617_150901.log,1962
2025-06-17 15:10:50,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:167,oran-orchestration-oai-cu-up-1_20250617_151050_20250617_150901.log,248
2025-06-17 15:12:23,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2548: e2ap_dec_e42_subscription_delete_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151223_20250617_150901.log,2954
2025-06-17 15:12:41,"nearRT-RIC: /flexric/src/ric/msg_handler_ric.c:117: e2ap_handle_subscription_response_ric: Assertion `resp->admitted[0].ric_act_id == 0 && ""No other case implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250617_151241_20250617_150901.log,1815
2025-06-17 15:13:54,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2523: e2ap_dec_e42_subscription_delete_request: Assertion `pdu->choice.initiatingMessage->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151354_20250617_150901.log,2918
2025-06-17 15:14:41,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/enc/e2ap_msg_enc_asn.c:3165: e2ap_enc_e42_setup_response_asn_pdu: Assertion `sr->len_e2_nodes_conn > 0 && ""No global node conected??""' failed.",oran-orchestration-nearRT-RIC-1_20250617_151441_20250617_150901.log,178243
2025-06-17 15:14:58,"nr-softmodem: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-du-rfsim-1_20250617_151458_20250617_150901.log,8
2025-06-17 15:16:09,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2531: e2ap_dec_e42_subscription_delete_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151609_20250617_150901.log,3254
2025-06-17 15:16:47,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:527: e2ap_dec_e42_subscription_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151647_20250617_150901.log,1475
2025-06-17 15:17:10,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:536: e2ap_dec_e42_subscription_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_151710_20250617_150901.log,1900
2025-06-17 15:23:13,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:176,oran-orchestration-oai-cu-up-1_20250617_152313_20250617_150901.log,876
2025-06-17 15:27:35,"nearRT-RIC: /flexric/src/ric/map_e2_node_sockaddr.c:154: find_map_e2_node_sad: Assertion `it != end && ""E2 Node not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250617_152735_20250617_150901.log,135
2025-06-17 15:28:12,"nr-cuup: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-cu-up-1_20250617_152812_20250617_150901.log,185
2025-06-17 15:33:45,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:229: filter_ues_by_s_nssai_in_cuup: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-cu-up-1_20250617_153345_20250617_150901.log,1243
2025-06-17 15:39:02,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:487: e2ap_dec_e42_subscription_request: Assertion `node_src->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_153902_20250617_150901.log,1300
2025-06-17 15:44:00,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:544: e2ap_dec_e42_subscription_request: Assertion `sub_det->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250617_154400_20250617_150901.log,1624
