Timestamp,Crash Line,Source File,Total Count
2025-06-22 13:16:40,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2523: e2ap_dec_e42_subscription_delete_request: Assertion `pdu->choice.initiatingMessage->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_131640_20250622_131607.log,190
2025-06-22 13:17:27,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2540: e2ap_dec_e42_subscription_delete_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_131727_20250622_131607.log,222
2025-06-22 13:17:55,"nearRT-RIC: /flexric/src/ric/msg_handler_ric.c:117: e2ap_handle_subscription_response_ric: Assertion `resp->admitted[0].ric_act_id == 0 && ""No other case implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250622_131755_20250622_131607.log,188
2025-06-22 13:18:09,"nearRT-RIC: /flexric/src/lib/e2ap/v2_03/enc/e2ap_msg_enc_asn.c:3165: e2ap_enc_e42_setup_response_asn_pdu: Assertion `sr->len_e2_nodes_conn > 0 && ""No global node conected??""' failed.",oran-orchestration-nearRT-RIC-1_20250622_131809_20250622_131607.log,373833
2025-06-22 13:20:21,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:536: e2ap_dec_e42_subscription_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_132021_20250622_131607.log,168
2025-06-22 13:21:26,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:177,oran-orchestration-oai-cu-up-1_20250622_132126_20250622_131607.log,82
2025-06-22 13:21:41,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:487: e2ap_dec_e42_subscription_request: Assertion `node_src->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_132141_20250622_131607.log,651
2025-06-22 13:21:41,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-cu-up-1_20250622_132141_20250622_131607.log,66
2025-06-22 13:22:14,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2531: e2ap_dec_e42_subscription_delete_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_132214_20250622_131607.log,191
2025-06-22 13:22:14,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:230: filter_ues_by_s_nssai_in_cuup: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-cu-up-1_20250622_132214_20250622_131607.log,58
2025-06-22 13:22:52,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:544: e2ap_dec_e42_subscription_request: Assertion `sub_det->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_132252_20250622_131607.log,155
2025-06-22 13:23:07,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-du-rfsim-1_20250622_132307_20250622_131607.log,69
2025-06-22 13:24:29,"nr-cuup: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-cu-up-1_20250622_132429_20250622_131607.log,126
2025-06-22 13:25:10,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:527: e2ap_dec_e42_subscription_request: Assertion `sub_req->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_132510_20250622_131607.log,138
2025-06-22 13:35:21,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2548: e2ap_dec_e42_subscription_delete_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_133521_20250622_131607.log,222
2025-06-22 13:37:14,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:72: fill_kpm_meas_data_item: Assertion `meas_info_lst[i].meas_type.type == NAME_MEAS_TYPE && ""Only NAME supported""' failed.",oran-orchestration-oai-du-rfsim-1_20250622_133714_20250622_131607.log,75
2025-06-22 13:58:50,In capture_sst_sd() /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:168,oran-orchestration-oai-cu-up-1_20250622_135850_20250622_131607.log,18
2025-06-22 14:02:07,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:477: e2ap_dec_e42_subscription_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250622_140207_20250622_131607.log,116
2025-06-22 14:04:07,"nearRT-RIC: /flexric/src/ric/map_e2_node_sockaddr.c:154: find_map_e2_node_sad: Assertion `it != end && ""E2 Node not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250622_140407_20250622_131607.log,94
2025-06-22 14:16:48,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:72: fill_kpm_meas_data_item: Assertion `meas_info_lst[i].meas_type.type == NAME_MEAS_TYPE && ""Only NAME supported""' failed.",oran-orchestration-oai-cu-up-1_20250622_141648_20250622_131607.log,55
2025-06-22 14:26:21,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:268: filter_ues_by_s_nssai_in_du_or_monolithic: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-du-rfsim-1_20250622_142621_20250622_131607.log,18
2025-06-22 14:52:14,"nr-softmodem: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-du-rfsim-1_20250622_145214_20250622_131607.log,68
2025-06-23 05:11:14,"nearRT-RIC: /flexric/src/lib/msg_hand/reg_e2_nodes.c:174: add_reg_e2_node: Assertion `it_node == end_node && ""Trying to add an already existing E2 Node""' failed.",oran-orchestration-nearRT-RIC-1_20250623_051114_20250622_131607.log,1
