Timestamp,Crash Line,Source File,Total Count
2025-07-08 08:42:21,"nearRT-RIC: /flexric/src/ric/msg_handler_ric.c:117: e2ap_handle_subscription_response_ric: Assertion `resp->admitted[0].ric_act_id == 0 && ""No other case implemented""' failed.",oran-orchestration-nearRT-RIC-1_20250708_084221_20250708_084148.log,223
2025-07-08 08:43:38,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:71: fill_kpm_meas_data_item: Assertion `meas_info_lst[i].meas_type.type == NAME_MEAS_TYPE && ""Only NAME supported""' failed.",oran-orchestration-oai-du-rfsim-1_20250708_084338_20250708_084315.log,152
2025-07-08 08:44:31,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:487: e2ap_dec_e42_subscription_request: Assertion `node_src->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_084431_20250708_084411.log,120
2025-07-08 08:47:14,"nearRT-RIC: /flexric/src/ric/iApp/msg_handler_iapp.c:343: e2ap_handle_e42_ric_subscription_request_iapp: Assertion `valid_global_e2_node(iapp, &e42_sr->id )' failed.",oran-orchestration-nearRT-RIC-1_20250708_084714_20250708_084651.log,42
2025-07-08 08:47:14,"nr-cuup: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-cu-up-1_20250708_084714_20250708_084651.log,136
2025-07-08 08:47:47,"nearRT-RIC: /flexric/src/util/alg_ds/ds/assoc_container/assoc_rb_tree.c:457: assoc_rb_tree_extract: Assertion `z_node != tree->dummy && ""Trying to extract a key not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250708_084747_20250708_084714.log,173
2025-07-08 08:48:32,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:229: filter_ues_by_s_nssai_in_cuup: Assertion `*test_info.test_cond == EQUAL_TEST_COND && ""Currently support EQUAL test condition""' failed.",oran-orchestration-oai-cu-up-1_20250708_084832_20250708_084810.log,100
2025-07-08 08:49:28,"nearRT-RIC: /flexric/src/ric/map_e2_node_sockaddr.c:154: find_map_e2_node_sad: Assertion `it != end && ""E2 Node not found in the tree""' failed.",oran-orchestration-nearRT-RIC-1_20250708_084928_20250708_084905.log,85
2025-07-08 08:49:28,"nr-softmodem: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-du-rfsim-1_20250708_084928_20250708_084905.log,124
2025-07-08 08:51:07,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:536: e2ap_dec_e42_subscription_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_085107_20250708_085044.log,122
2025-07-08 08:52:03,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm_subs.c:226: get_kpm_meas_value: Assertion `found_entry != NULL && ""Unsupported KPM measurement name""' failed.",oran-orchestration-oai-cu-up-1_20250708_085203_20250708_085140.log,93
2025-07-08 08:52:28,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:544: e2ap_dec_e42_subscription_request: Assertion `sub_det->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_085228_20250708_085203.log,142
2025-07-08 08:53:47,"nr-cuup: /oai/openair2/E2AP/RAN_FUNCTION/O-RAN/ran_func_kpm.c:71: fill_kpm_meas_data_item: Assertion `meas_info_lst[i].meas_type.type == NAME_MEAS_TYPE && ""Only NAME supported""' failed.",oran-orchestration-oai-cu-up-1_20250708_085347_20250708_085319.log,105
2025-07-08 08:55:00,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2523: e2ap_dec_e42_subscription_delete_request: Assertion `pdu->choice.initiatingMessage->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_085500_20250708_085437.log,170
2025-07-08 08:55:45,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:477: e2ap_dec_e42_subscription_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_085545_20250708_085524.log,121
2025-07-08 09:00:54,"nearRT-RIC: /flexric/src/ric/iApp/map_ric_id.c:227: find_ric_req_map_ric_id: Assertion `it != end && ""Not found xApp RIC ID ""' failed.",oran-orchestration-nearRT-RIC-1_20250708_090054_20250708_090029.log,392
2025-07-08 09:07:56,/oai/openair2/RRC/NR/cucp_cuup_e1ap.c:31 cucp_cuup_bearer_context_setup_e1ap() Exiting OAI softmodem: _Assert_Exit_,oran-orchestration-oai-cu-cp-1_20250708_090756_20250708_090731.log,74
2025-07-08 09:07:56,In cucp_cuup_bearer_context_setup_e1ap() /oai/openair2/RRC/NR/cucp_cuup_e1ap.c:31,oran-orchestration-oai-cu-cp-1_20250708_090756_20250708_090731.log,144
2025-07-08 09:18:33,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2548: e2ap_dec_e42_subscription_delete_request: Assertion `ran_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_091833_20250708_091810.log,96
2025-07-08 09:21:10,"nr-softmodem: /oai/openair2/E2AP/flexric/src/agent/msg_handler_agent.c:136: supported_ric_subscription_request: Assertion `sr->action->type == RIC_ACT_REPORT && ""Only report supported""' failed.",oran-orchestration-oai-du-rfsim-1_20250708_092110_20250708_092047.log,80
2025-07-08 09:26:59,nearRT-RIC: /flexric/src/lib/e2ap/v2_03/dec/e2ap_msg_dec_asn.c:2531: e2ap_dec_e42_subscription_delete_request: Assertion `xapp_id->criticality == Criticality_reject' failed.,oran-orchestration-nearRT-RIC-1_20250708_092659_20250708_092634.log,112
